"totInt","cellArea","cellnum","bkgrdInt","frame","cond","time","strain"
537745,130,21,1976.4813,6,"infected",180,"LZ22221"
343416,92,22,1976.4813,6,"infected",180,"LZ22221"
612541,154,1,1630.6541,7,"infected",180,"LZ22221"
465819,193,2,1630.6541,7,"infected",180,"LZ22221"
396218,225,3,1630.6541,7,"infected",180,"LZ22221"
465389,219,4,1630.6541,7,"infected",180,"LZ22221"
5558101,455,5,1630.6541,7,"infected",180,"LZ22221"
3780564,348,6,1630.6541,7,"infected",180,"LZ22221"
791984,296,7,1630.6541,7,"infected",180,"LZ22221"
1143628,140,8,1630.6541,7,"infected",180,"LZ22221"
290698,116,9,1630.6541,7,"infected",180,"LZ22221"
589087,92,10,1630.6541,7,"infected",180,"LZ22221"
2358759,228,1,1519.4341,8,"infected",180,"LZ22221"
253558,132,2,1519.4341,8,"infected",180,"LZ22221"
1462006,171,3,1519.4341,8,"infected",180,"LZ22221"
2137077,219,4,1519.4341,8,"infected",180,"LZ22221"
4178478,410,5,1519.4341,8,"infected",180,"LZ22221"
698411,380,6,1519.4341,8,"infected",180,"LZ22221"
1226437,253,7,1519.4341,8,"infected",180,"LZ22221"
5348332,292,8,1519.4341,8,"infected",180,"LZ22221"
382361,230,1,1596.9793,9,"infected",180,"LZ22221"
3934319,394,2,1596.9793,9,"infected",180,"LZ22221"
4253331,312,3,1596.9793,9,"infected",180,"LZ22221"
4678653,386,4,1596.9793,9,"infected",180,"LZ22221"
210131,129,5,1596.9793,9,"infected",180,"LZ22221"
326840,177,6,1596.9793,9,"infected",180,"LZ22221"
443401,178,7,1596.9793,9,"infected",180,"LZ22221"
4720207,238,8,1596.9793,9,"infected",180,"LZ22221"
939131,209,9,1596.9793,9,"infected",180,"LZ22221"
466445,89,10,1596.9793,9,"infected",180,"LZ22221"
413041,185,11,1596.9793,9,"infected",180,"LZ22221"
3446129,243,1,1699.2762,10,"infected",180,"LZ22221"
1805595,202,2,1699.2762,10,"infected",180,"LZ22221"
3041814,134,3,1699.2762,10,"infected",180,"LZ22221"
8495023,309,4,1699.2762,10,"infected",180,"LZ22221"
2156215,133,5,1699.2762,10,"infected",180,"LZ22221"
3503784,162,6,1699.2762,10,"infected",180,"LZ22221"
2352307,120,7,1699.2762,10,"infected",180,"LZ22221"
2067909,129,1,1613.4779,11,"infected",180,"LZ22221"
692480,301,2,1613.4779,11,"infected",180,"LZ22221"
1992409,144,3,1613.4779,11,"infected",180,"LZ22221"
2299219,256,4,1613.4779,11,"infected",180,"LZ22221"
1251016,127,5,1613.4779,11,"infected",180,"LZ22221"
4163512,157,6,1613.4779,11,"infected",180,"LZ22221"
2089517,105,7,1613.4779,11,"infected",180,"LZ22221"
467351,186,2,1786.2125,1,"infected",60,"LZ22221"
416688,211,3,1786.2125,1,"infected",60,"LZ22221"
445367,247,4,1786.2125,1,"infected",60,"LZ22221"
310714,172,5,1786.2125,1,"infected",60,"LZ22221"
430948,238,6,1786.2125,1,"infected",60,"LZ22221"
1177749,482,7,1786.2125,1,"infected",60,"LZ22221"
1211041,308,8,1786.2125,1,"infected",60,"LZ22221"
407663,220,9,1786.2125,1,"infected",60,"LZ22221"
739425,351,10,1786.2125,1,"infected",60,"LZ22221"
464004,245,11,1786.2125,1,"infected",60,"LZ22221"
337346,168,12,1786.2125,1,"infected",60,"LZ22221"
2287999,403,13,1786.2125,1,"infected",60,"LZ22221"
329891,163,14,1786.2125,1,"infected",60,"LZ22221"
840680,275,15,1786.2125,1,"infected",60,"LZ22221"
1114769,500,16,1786.2125,1,"infected",60,"LZ22221"
478609,257,17,1786.2125,1,"infected",60,"LZ22221"
612830,190,18,1786.2125,1,"infected",60,"LZ22221"
467968,147,19,1786.2125,1,"infected",60,"LZ22221"
1258545,573,20,1786.2125,1,"infected",60,"LZ22221"
721398,234,21,1786.2125,1,"infected",60,"LZ22221"
1066482,380,22,1786.2125,1,"infected",60,"LZ22221"
1044635,420,23,1786.2125,1,"infected",60,"LZ22221"
2013321,279,24,1786.2125,1,"infected",60,"LZ22221"
1035557,196,25,1786.2125,1,"infected",60,"LZ22221"
1740397,385,26,1786.2125,1,"infected",60,"LZ22221"
769135,198,27,1786.2125,1,"infected",60,"LZ22221"
799287,435,28,1786.2125,1,"infected",60,"LZ22221"
731502,202,29,1786.2125,1,"infected",60,"LZ22221"
985147,412,30,1786.2125,1,"infected",60,"LZ22221"
546015,256,31,1786.2125,1,"infected",60,"LZ22221"
770867,162,32,1786.2125,1,"infected",60,"LZ22221"
4103650,348,33,1786.2125,1,"infected",60,"LZ22221"
370948,124,34,1786.2125,1,"infected",60,"LZ22221"
485927,178,35,1786.2125,1,"infected",60,"LZ22221"
405587,184,36,1786.2125,1,"infected",60,"LZ22221"
282411,126,37,1786.2125,1,"infected",60,"LZ22221"
998657,462,38,1786.2125,1,"infected",60,"LZ22221"
216750,104,39,1786.2125,1,"infected",60,"LZ22221"
221295,106,40,1786.2125,1,"infected",60,"LZ22221"
148095,74,41,1786.2125,1,"infected",60,"LZ22221"
815587,392,42,1786.2125,1,"infected",60,"LZ22221"
628582,162,43,1786.2125,1,"infected",60,"LZ22221"
268473,85,44,1786.2125,1,"infected",60,"LZ22221"
949564,472,1,1582.8397,2,"infected",60,"LZ22221"
524061,268,2,1582.8397,2,"infected",60,"LZ22221"
402341,192,3,1582.8397,2,"infected",60,"LZ22221"
412035,228,4,1582.8397,2,"infected",60,"LZ22221"
461202,181,5,1582.8397,2,"infected",60,"LZ22221"
1638158,245,6,1582.8397,2,"infected",60,"LZ22221"
465820,246,7,1582.8397,2,"infected",60,"LZ22221"
202127,104,8,1582.8397,2,"infected",60,"LZ22221"
235544,127,9,1582.8397,2,"infected",60,"LZ22221"
457995,238,10,1582.8397,2,"infected",60,"LZ22221"
223238,91,11,1582.8397,2,"infected",60,"LZ22221"
478286,178,12,1582.8397,2,"infected",60,"LZ22221"
1661351,199,13,1582.8397,2,"infected",60,"LZ22221"
670362,150,14,1582.8397,2,"infected",60,"LZ22221"
754934,348,15,1582.8397,2,"infected",60,"LZ22221"
1136546,230,16,1582.8397,2,"infected",60,"LZ22221"
349289,78,17,1582.8397,2,"infected",60,"LZ22221"
1463313,500,1,1659.2273,3,"infected",60,"LZ22221"
2033761,271,2,1659.2273,3,"infected",60,"LZ22221"
1025121,528,3,1659.2273,3,"infected",60,"LZ22221"
1168524,439,4,1659.2273,3,"infected",60,"LZ22221"
381612,175,5,1659.2273,3,"infected",60,"LZ22221"
684386,197,6,1659.2273,3,"infected",60,"LZ22221"
520542,291,7,1659.2273,3,"infected",60,"LZ22221"
1336153,385,8,1659.2273,3,"infected",60,"LZ22221"
355452,208,9,1659.2273,3,"infected",60,"LZ22221"
432977,229,10,1659.2273,3,"infected",60,"LZ22221"
1452614,324,11,1659.2273,3,"infected",60,"LZ22221"
818736,477,12,1659.2273,3,"infected",60,"LZ22221"
895937,75,13,1659.2273,3,"infected",60,"LZ22221"
941762,89,14,1659.2273,3,"infected",60,"LZ22221"
1658084,402,15,1659.2273,3,"infected",60,"LZ22221"
520547,132,16,1659.2273,3,"infected",60,"LZ22221"
279329,140,17,1659.2273,3,"infected",60,"LZ22221"
357384,185,18,1659.2273,3,"infected",60,"LZ22221"
935024,254,19,1659.2273,3,"infected",60,"LZ22221"
592894,204,20,1659.2273,3,"infected",60,"LZ22221"
259767,109,21,1659.2273,3,"infected",60,"LZ22221"
1608940,350,22,1659.2273,3,"infected",60,"LZ22221"
209761,103,23,1659.2273,3,"infected",60,"LZ22221"
220861,102,24,1659.2273,3,"infected",60,"LZ22221"
640698,330,25,1659.2273,3,"infected",60,"LZ22221"
863288,241,26,1659.2273,3,"infected",60,"LZ22221"
638883,291,27,1659.2273,3,"infected",60,"LZ22221"
193351,108,28,1659.2273,3,"infected",60,"LZ22221"
1320265,366,29,1659.2273,3,"infected",60,"LZ22221"
1561728,196,30,1659.2273,3,"infected",60,"LZ22221"
1065116,469,1,1538.5034,4,"infected",60,"LZ22221"
373483,213,2,1538.5034,4,"infected",60,"LZ22221"
1223534,465,3,1538.5034,4,"infected",60,"LZ22221"
372018,211,4,1538.5034,4,"infected",60,"LZ22221"
398401,228,5,1538.5034,4,"infected",60,"LZ22221"
438867,250,6,1538.5034,4,"infected",60,"LZ22221"
826566,302,7,1538.5034,4,"infected",60,"LZ22221"
476280,153,8,1538.5034,4,"infected",60,"LZ22221"
2247231,426,1,1523.4585,5,"infected",60,"LZ22221"
461196,181,2,1523.4585,5,"infected",60,"LZ22221"
1285623,349,3,1523.4585,5,"infected",60,"LZ22221"
407673,242,4,1523.4585,5,"infected",60,"LZ22221"
393618,216,5,1523.4585,5,"infected",60,"LZ22221"
484673,130,6,1523.4585,5,"infected",60,"LZ22221"
376412,117,7,1523.4585,5,"infected",60,"LZ22221"
218560,104,8,1523.4585,5,"infected",60,"LZ22221"
768311,458,1,1511.9848,6,"infected",60,"LZ22221"
261883,141,2,1511.9848,6,"infected",60,"LZ22221"
727771,382,3,1511.9848,6,"infected",60,"LZ22221"
574421,290,4,1511.9848,6,"infected",60,"LZ22221"
543871,156,5,1511.9848,6,"infected",60,"LZ22221"
1030743,227,6,1511.9848,6,"infected",60,"LZ22221"
877362,321,7,1511.9848,6,"infected",60,"LZ22221"
232508,144,8,1511.9848,6,"infected",60,"LZ22221"
492493,136,9,1511.9848,6,"infected",60,"LZ22221"
167929,69,10,1511.9848,6,"infected",60,"LZ22221"
540877,302,1,1566.1583,7,"infected",60,"LZ22221"
321154,171,2,1566.1583,7,"infected",60,"LZ22221"
755252,370,3,1566.1583,7,"infected",60,"LZ22221"
498544,282,1,1589.7918,8,"infected",60,"LZ22221"
696623,370,2,1589.7918,8,"infected",60,"LZ22221"
804031,362,3,1589.7918,8,"infected",60,"LZ22221"
784841,302,4,1589.7918,8,"infected",60,"LZ22221"
2180525,284,5,1589.7918,8,"infected",60,"LZ22221"
1021474,452,6,1589.7918,8,"infected",60,"LZ22221"
322233,134,7,1589.7918,8,"infected",60,"LZ22221"
315176,178,8,1589.7918,8,"infected",60,"LZ22221"
681235,385,9,1589.7918,8,"infected",60,"LZ22221"
883061,426,10,1589.7918,8,"infected",60,"LZ22221"
476283,168,11,1589.7918,8,"infected",60,"LZ22221"
428458,131,12,1589.7918,8,"infected",60,"LZ22221"
327750,173,13,1589.7918,8,"infected",60,"LZ22221"
